"zip_code","year","avg.house_price"
"60632","2000",131757
"60632","2001",146616.5
"60632","2002",161351.916666667
"60632","2003",179401.75
"60632","2004",200669.75
"60632","2005",227634.5
"60632","2006",251597.333333333
"60632","2007",250303.916666667
"60632","2008",225447.666666667
"60632","2009",176725.75
"60632","2010",148409.833333333
"60632","2011",131587.666666667
"60632","2012",117923
"60632","2013",124794.666666667
"60632","2014",137387.5
"60632","2015",152336.5
"60632","2016",168537
"60632","2017",181168.083333333
"60632","2018",191258.166666667
"60632","2019",196251.5
"60632","2020",213606.166666667
"60632","2021",241858.333333333
"60633","2000",96320.1666666667
"60633","2001",104217.583333333
"60633","2002",109833.833333333
"60633","2003",118991.75
"60633","2004",128897
"60633","2005",141506.416666667
"60633","2006",154996.416666667
"60633","2007",158971
"60633","2008",148949.333333333
"60633","2009",129441.75
"60633","2010",117913.25
"60633","2011",101921.416666667
"60633","2012",88938.25
"60633","2013",83534.5833333333
"60633","2014",87354.5
"60633","2015",91905.5
"60633","2016",101036.083333333
"60633","2017",113220.5
"60633","2018",121442.916666667
"60633","2019",125595.75
"60633","2020",133116.416666667
"60633","2021",157140.25
"60634","2000",199253.666666667
"60634","2001",229190
"60634","2002",255016.75
"60634","2003",276744.916666667
"60634","2004",304280.333333333
"60634","2005",342137.75
"60634","2006",373350.416666667
"60634","2007",371710.833333333
"60634","2008",333467.916666667
"60634","2009",269914
"60634","2010",240410.416666667
"60634","2011",213472.416666667
"60634","2012",200637.75
"60634","2013",217412.333333333
"60634","2014",248564.75
"60634","2015",264565.166666667
"60634","2016",275432.416666667
"60634","2017",291212.333333333
"60634","2018",300198.833333333
"60634","2019",302496.583333333
"60634","2020",303815.083333333
"60634","2021",335352
"60636","2000",84620.9166666667
"60636","2001",88662.3333333333
"60636","2002",90754.6666666667
"60636","2003",95004.25
"60636","2004",102013.916666667
"60636","2005",117554.083333333
"60636","2006",132651.5
"60636","2007",139361.916666667
"60636","2008",134990.083333333
"60636","2009",99045.4166666667
"60636","2010",90594.0833333333
"60636","2011",73616.5833333333
"60636","2012",55748.0833333333
"60636","2013",45236.5833333333
"60636","2014",45077.1666666667
"60636","2015",48657.0833333333
"60636","2016",58680.8333333333
"60636","2017",62843.5833333333
"60636","2018",70896.75
"60636","2019",76502.75
"60636","2020",79703.0833333333
"60636","2021",112539
"60637","2000",158365.25
"60637","2001",166019.333333333
"60637","2002",183710.666666667
"60637","2003",201565.083333333
"60637","2004",222476.666666667
"60637","2005",251957.083333333
"60637","2006",274426.75
"60637","2007",281712.5
"60637","2008",272394.833333333
"60637","2009",231512.416666667
"60637","2010",193843.416666667
"60637","2011",162981.833333333
"60637","2012",127091.833333333
"60637","2013",115522.666666667
"60637","2014",111079.666666667
"60637","2015",111878.75
"60637","2016",123497.083333333
"60637","2017",139395.5
"60637","2018",153397.916666667
"60637","2019",159500.416666667
"60637","2020",169042.75
"60637","2021",198629.583333333
"60638","2000",153912.583333333
"60638","2001",169704.833333333
"60638","2002",184882.583333333
"60638","2003",206930.75
"60638","2004",234010.833333333
"60638","2005",260033
"60638","2006",278764.166666667
"60638","2007",278954.666666667
"60638","2008",254913.25
"60638","2009",219932
"60638","2010",201591.416666667
"60638","2011",177251.916666667
"60638","2012",162814.25
"60638","2013",175264.833333333
"60638","2014",189822.75
"60638","2015",202544.75
"60638","2016",214004.083333333
"60638","2017",229194.333333333
"60638","2018",238371.083333333
"60638","2019",243089.666666667
"60638","2020",253450.166666667
"60638","2021",280363.416666667
"60639","2000",160340
"60639","2001",185361.25
"60639","2002",208326.666666667
"60639","2003",233049.75
"60639","2004",261185.25
"60639","2005",294469.166666667
"60639","2006",319537.083333333
"60639","2007",325136.333333333
"60639","2008",287636.5
"60639","2009",208956.25
"60639","2010",177386.333333333
"60639","2011",159844.5
"60639","2012",152402.166666667
"60639","2013",165177.166666667
"60639","2014",189085
"60639","2015",202213.25
"60639","2016",222422.083333333
"60639","2017",247589.75
"60639","2018",263739.916666667
"60639","2019",266430.416666667
"60639","2020",269039.083333333
"60639","2021",300052.916666667
"60640","2000",197601.666666667
"60640","2001",233912.25
"60640","2002",258147.666666667
"60640","2003",275559.5
"60640","2004",293129.416666667
"60640","2005",315401
"60640","2006",334436
"60640","2007",335188.5
"60640","2008",316920.75
"60640","2009",286074.416666667
"60640","2010",275191.5
"60640","2011",247994.166666667
"60640","2012",227423.25
"60640","2013",242940.833333333
"60640","2014",263635
"60640","2015",270627.583333333
"60640","2016",280017.166666667
"60640","2017",293205.416666667
"60640","2018",300902.25
"60640","2019",300850.416666667
"60640","2020",308023
"60640","2021",328826.25
"60641","2000",231934.666666667
"60641","2001",268831.75
"60641","2002",300393.75
"60641","2003",327809.083333333
"60641","2004",358307.083333333
"60641","2005",401290.833333333
"60641","2006",439165
"60641","2007",438392.916666667
"60641","2008",388555.083333333
"60641","2009",316092.166666667
"60641","2010",281008.083333333
"60641","2011",245656.833333333
"60641","2012",232870
"60641","2013",256957.416666667
"60641","2014",292487.333333333
"60641","2015",299053.583333333
"60641","2016",310026.083333333
"60641","2017",335508.916666667
"60641","2018",343529.25
"60641","2019",336029.5
"60641","2020",338187.75
"60641","2021",364916.5
"60642","2000",285023.25
"60642","2001",322828.916666667
"60642","2002",346695.25
"60642","2003",362108.083333333
"60642","2004",377757.333333333
"60642","2005",406519.5
"60642","2006",429442.333333333
"60642","2007",433375.583333333
"60642","2008",421997
"60642","2009",392447.916666667
"60642","2010",380157
"60642","2011",357272.25
"60642","2012",340032
"60642","2013",373610.666666667
"60642","2014",409260.666666667
"60642","2015",422849.5
"60642","2016",452076.5
"60642","2017",475028.833333333
"60642","2018",483834.333333333
"60642","2019",479480
"60642","2020",485203.416666667
"60642","2021",510578.083333333
"60643","2000",162416.916666667
"60643","2001",175493.166666667
"60643","2002",183250.416666667
"60643","2003",193160.916666667
"60643","2004",207810.25
"60643","2005",226921.75
"60643","2006",248408.583333333
"60643","2007",252445.5
"60643","2008",242077.583333333
"60643","2009",208296
"60643","2010",192396.75
"60643","2011",167517.333333333
"60643","2012",150653.5
"60643","2013",151187.5
"60643","2014",156790.5
"60643","2015",155611.333333333
"60643","2016",159369.333333333
"60643","2017",171515.25
"60643","2018",181745.25
"60643","2019",189330.583333333
"60643","2020",187934.25
"60643","2021",207044.583333333
"60644","2000",156851.333333333
"60644","2001",168525.416666667
"60644","2002",182408.25
"60644","2003",194229.166666667
"60644","2004",211828.166666667
"60644","2005",237685.5
"60644","2006",271894.75
"60644","2007",293856.166666667
"60644","2008",273242.5
"60644","2009",199563.583333333
"60644","2010",156908.333333333
"60644","2011",135291.166666667
"60644","2012",114438.166666667
"60644","2013",98837.6666666667
"60644","2014",93549.9166666667
"60644","2015",104020.583333333
"60644","2016",121836.083333333
"60644","2017",126405.5
